hour_interval,time_period,traffic_share_pct,avg_network_speed_kmh,congestion_level,emergency_corridor_clearance_risk
00:00 - 01:00,Late Night,1.15,46.5,Free Flow,Low
01:00 - 02:00,Late Night,0.85,48.2,Free Flow,Low
02:00 - 03:00,Late Night,0.65,49.0,Free Flow,Low
03:00 - 04:00,Early Morning,0.75,48.5,Free Flow,Low
04:00 - 05:00,Early Morning,1.25,45.0,Free Flow,Low
05:00 - 06:00,Early Morning,2.40,42.0,Light,Low
06:00 - 07:00,Morning Early,3.85,38.0,Moderate,Low
07:00 - 08:00,Morning Transition,5.80,32.0,Moderate,Medium
08:00 - 09:00,Morning Peak Start,8.45,21.5,Heavy,High
09:00 - 10:00,Morning Peak High,9.65,16.2,Severe Congestion,Critical (Gridlock if flooded)
10:00 - 11:00,Morning Peak End,8.10,19.8,Heavy,High
11:00 - 12:00,Midday,6.15,26.0,Moderate,Medium
12:00 - 13:00,Midday,5.40,28.5,Moderate,Medium
13:00 - 14:00,Afternoon,5.10,29.0,Moderate,Medium
14:00 - 15:00,Afternoon,5.35,28.0,Moderate,Medium
15:00 - 16:00,Late Afternoon,5.95,26.5,Moderate,Medium
16:00 - 17:00,Evening Transition,6.75,23.5,Heavy,High
17:00 - 18:00,Evening Peak Start,8.30,18.0,Severe Congestion,Critical (Gridlock if flooded)
18:00 - 19:00,Evening Peak High,9.85,14.5,Gridlock,Extreme (Evacuation bottleneck)
19:00 - 20:00,Evening Peak High,8.95,15.8,Severe Congestion,Critical
20:00 - 21:00,Night Transition,6.45,22.0,Heavy,High
21:00 - 22:00,Night,4.55,29.5,Moderate,Medium
22:00 - 23:00,Late Night,2.90,36.0,Light,Low
23:00 - 24:00,Late Night,1.75,42.0,Free Flow,Low
Total,24 Hours,100.00,28.2,Citywide Average,Dynamic Real-Time Re-Routing Required
