zone_no,zone_name,total_commercial_units,area_sq_km,business_density_per_sq_km,dominant_business_activity,daily_economic_output_cr,direct_flood_exposure_pct,estimated_hourly_interruption_loss_lakhs
1,Thiruvottiyur,4120,21.42,192.3,Marine Fish Trade Transport & Logistics,18.5,35.0,26.8
2,Manali,1850,39.47,46.9,Petrochemical & Chemical Logistics,45.0,42.0,58.5
3,Madhavaram,3420,31.41,108.9,Heavy Truck Terminals & Warehousing,24.0,30.0,32.4
4,Tondiarpet,8950,14.73,607.6,Port Freight Metal Scrap & Auto Parts,38.0,48.0,54.2
5,Royapuram,19400,12.44,1559.5,Wholesale Trading Textiles Hardware Gold,125.0,52.0,185.0
6,Thiru-Vi-Ka Nagar,7650,16.52,463.1,Retail Street Markets & Small Garments,22.0,46.0,31.5
7,Ambattur,9800,40.36,242.8,Industrial MSME Manufacturing & Auto,82.0,28.0,115.0
8,Anna Nagar,12800,19.20,666.7,Koyambedu Wholesale Agro & Premium Retail,88.0,25.0,118.0
9,Teynampet,24500,19.82,1236.1,T. Nagar Retail Hub Hotels & Corporates,165.0,44.0,240.0
10,Kodambakkam,14200,20.40,696.1,Arcot Road Commercial Film Industry Retail,55.0,38.0,76.5
11,Valasaravakkam,5800,18.85,307.7,Residential Ancillary Retail & Healthcare,19.0,32.0,25.4
12,Alandur,7400,19.49,379.7,Guindy Industrial Estate & Airport Cargo,78.0,45.0,112.0
13,Adyar,11600,26.43,438.9,IT Corridor Startups Retail & Institutions,140.0,22.0,175.0
14,Perungudi,8900,33.78,263.5,OMR Tech Parks Logistics & Automotive,115.0,40.0,152.0
15,Sholinganallur,6800,44.08,154.3,IT SEZs Multi-Nationals & Real Estate,130.0,34.0,168.0
Total,Greater Chennai Corporation,147190,358.90,410.1,Mega Metropolitan Economy,1146.0,36.7,1594.8
