canal_id,canal_name,length_km,basin_river,governing_department,zones_traversed,silt_hyacinth_cleared_tonnes,drone_inspected,critical_bottleneck_points,flood_risk_level
C01,Buckingham Canal (North),17.20,Kosasthalaiyar / Ennore Creek,WRD / GCC,1 4 5,2450.0,Yes,"Basin Bridge, Ennore thermal discharge outfall, Korukkupet culverts",Critical
C02,Buckingham Canal (Central),7.80,Cooum / Adyar,WRD / GCC,5 9 13,1680.0,Yes,"Triplicane MRTS pillars, Chepauk, Ice House road bridge",High
C03,Buckingham Canal (South),13.50,Adyar / Kovalam Creek,WRD / GCC,13 14 15,1920.0,Yes,"Kotturpuram, Thiruvanmiyur, Okkiyam Maduvu confluence",High
C04,Otteri Nullah,11.30,Buckingham Canal / North Basin,WRD / GCC,6 8,1850.0,Yes,"Pulianthope Bridge, Stephenson Road culvert, Perambur Barracks Rd",Critical
C05,Mambalam Canal,5.80,Adyar River,WRD / GCC,9 10,980.0,Yes,"Bazullah Road bridge, Thyagaraya Nagar, CIT Nagar culverts",Critical
C06,Virugambakkam Canal,6.20,Adyar River,WRD / GCC,10 11,840.0,Yes,"Arcot Road crossing, Chinmaya Nagar, Koyambedu junction",High
C07,Captain Cotton Canal,3.40,Otteri Nullah / Buckingham,WRD / GCC,4 6,710.0,Yes,"MKB Nagar bridge, Vyasarpadi subway siphon",Critical
C08,Okkiyam Maduvu,4.20,Kovalam Estuary / Bay of Bengal,WRD,14 15,1250.0,Yes,"Pallikaranai Marsh outfall, Thoraipakkam-Pallavaram 200ft Rd bridge",Critical
C09,Kodungaiyur Drain,5.60,Captain Cotton Canal,WRD / GCC,3 4,620.0,Yes,"Erukancheri High Road culvert, dumping ground culvert",High
C10,Nolambur Drain,3.80,Cooum River,WRD / GCC,7 8,430.0,Yes,"Ambattur Estate downstream culvert, Mogappair East bridge",Medium
C11,Velachery Surplus Canal,3.50,Pallikaranai Marshland,WRD / GCC,13 14,890.0,Yes,"Velachery Lake weir, 100 Feet Bypass Road, Taramani Link Road",Critical
C12,Madipakkam-Keelkattalai Surplus,4.20,Pallikaranai Marshland,WRD / GCC,12 14,640.0,Yes,"Medavakkam Main Road culvert, Lake bund discharge siphon",High
