segment_id,latitude,longitude,zone_no,zone_name,road_class,elevation_m,slope_degrees,distance_to_coast_km,distance_to_major_canal_m,subsidence_rate_mm_yr,soil_infiltration_rate_mm_hr,swd_pipe_diameter_mm,swd_pipe_material,theoretical_drain_capacity_cumecs,solid_waste_generated_tpd,desilting_completed_pct,chronic_blockage_flag,drain_clogging_factor_mu,effective_drain_capacity_cumecs,rainfall_24h_mm,rainfall_peak_intensity_mm_hr,surface_runoff_inflow_cumecs,is_flooded,flood_depth_cm,flood_severity_level,safe_vehicle_passage
CHN_SEG_00001,12.984057,80.215497,12,Alandur,street,8.7,0.67,12.71,1252.0,3.6,12.5,600,RCC_Hume_NP2,0.308,330.0,71.0,1,0.532,0.144,299.0088,49.8,0.242,1,28.3,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00002,12.973761,80.200549,12,Alandur,street,7.19,0.67,14.37,1398.2,3.6,12.5,600,RCC_Hume_NP2,0.308,330.0,71.0,0,0.332,0.206,299.0088,49.8,0.242,1,22.3,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00003,13.030962,80.26062,9,Teynampet,street_limited,7.44,0.71,7.7,1323.4,3.6,7.8,600,RCC_Hume_NP2,0.317,540.0,78.5,0,0.383,0.196,299.0088,49.8,0.242,1,17.7,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00004,12.914522,80.156166,15,Sholinganallur,street,3.23,0.47,19.3,1388.4,4.7,4.2,600,RCC_Hume_NP2,0.258,290.0,71.0,0,0.316,0.176,299.0088,49.8,0.242,1,63.6,Severe (45-100 cm),Only Heavy Rescue Trucks
CHN_SEG_00005,13.067577,80.208711,8,Annanagar,street,13.0,0.92,13.46,101.3,3.6,12.5,600,RCC_Hume_NP2,0.361,430.0,78.5,0,0.337,0.239,299.0088,49.8,0.242,1,22.8,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00006,12.819932,80.047215,15,Sholinganallur,street,2.55,0.24,31.39,156.1,4.7,4.2,600,RCC_Hume_NP2,0.184,290.0,71.0,0,0.316,0.126,299.0088,49.8,0.242,1,82.7,Severe (45-100 cm),Only Heavy Rescue Trucks
CHN_SEG_00007,13.00595,80.203888,12,Alandur,street,10.7,0.8,14.0,40.0,3.6,12.5,600,RCC_Hume_NP2,0.337,330.0,71.0,1,0.532,0.158,299.0088,49.8,0.242,1,28.3,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00008,12.980105,80.188613,12,Alandur,street,7.17,0.58,15.69,1350.6,3.6,12.5,600,RCC_Hume_NP2,0.287,330.0,71.0,0,0.332,0.192,299.0088,49.8,0.242,1,23.3,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00009,12.977496,80.217683,12,Alandur,street,7.8,0.58,12.47,1387.1,3.6,12.5,600,RCC_Hume_NP2,0.287,330.0,71.0,1,0.532,0.134,299.0088,49.8,0.242,1,28.3,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00010,12.969357,80.264128,14,Perungudi,main,4.15,0.45,7.31,1348.9,4.7,4.2,600,RCC_Hume_NP2,0.252,370.0,71.0,0,0.349,0.164,299.0088,49.8,0.242,1,23.7,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00011,13.063201,80.275753,9,Teynampet,street_limited,4.73,0.59,6.02,402.0,3.6,7.8,600,RCC_Hume_NP2,0.289,540.0,78.5,0,0.383,0.178,299.0088,49.8,0.242,1,24.6,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00012,13.183086,80.302186,1,Thiruvottiyur,street,2.28,0.63,3.09,767.4,4.7,4.2,600,RCC_Hume_NP2,0.299,340.0,62.0,0,0.382,0.185,299.0088,49.8,0.242,1,92.5,Severe (45-100 cm),Only Heavy Rescue Trucks
CHN_SEG_00013,12.977235,80.255298,14,Perungudi,street,4.48,0.29,8.29,1389.4,4.7,4.2,600,RCC_Hume_NP2,0.203,370.0,71.0,0,0.349,0.132,299.0088,49.8,0.242,1,23.7,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00014,12.968709,80.225094,14,Perungudi,minor_rail,1.15,0.47,11.64,1336.0,4.7,4.2,600,RCC_Hume_NP2,0.258,370.0,71.0,0,0.349,0.168,299.0088,49.8,0.242,1,123.0,Catastrophic (>100 cm),Impasse / Completely Submerged
CHN_SEG_00015,13.044869,80.206908,10,Kodambakkam,street_limited,6.58,0.75,13.66,1308.8,3.6,7.8,600,RCC_Hume_NP2,0.326,560.0,78.5,0,0.391,0.199,299.0088,49.8,0.242,1,19.3,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00016,12.982131,80.254357,14,Perungudi,main,4.6,0.33,8.4,1306.4,4.7,4.2,600,RCC_Hume_NP2,0.216,370.0,71.0,1,0.549,0.097,299.0088,49.8,0.242,1,28.7,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00017,12.980288,80.206506,12,Alandur,street,7.45,0.59,13.71,1347.2,3.6,12.5,600,RCC_Hume_NP2,0.289,330.0,71.0,0,0.332,0.193,299.0088,49.8,0.242,1,23.3,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00018,12.992619,80.088148,11,Valasaravakkam,motorway,11.5,0.92,26.85,878.9,3.6,12.5,1600,RCC_Box_Culvert,4.935,310.0,71.0,0,0.324,3.336,299.0088,49.8,0.294,1,18.6,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00019,12.981911,80.206337,12,Alandur,street,7.63,0.63,13.73,1311.9,3.6,12.5,600,RCC_Hume_NP2,0.299,330.0,71.0,0,0.332,0.2,299.0088,49.8,0.242,1,19.6,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00020,12.935509,80.2158,15,Sholinganallur,street,3.95,0.29,12.68,535.7,4.7,4.2,600,RCC_Hume_NP2,0.203,290.0,71.0,0,0.316,0.139,299.0088,49.8,0.242,1,22.9,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00021,13.023206,80.260056,13,Adyar,street,3.75,0.47,7.76,1052.4,3.6,7.8,600,RCC_Hume_NP2,0.258,450.0,71.0,0,0.383,0.159,299.0088,49.8,0.242,1,24.6,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00022,13.021601,80.225807,9,Teynampet,path,4.97,0.54,11.57,975.0,3.6,7.8,600,RCC_Hume_NP2,0.277,540.0,78.5,1,0.583,0.116,299.0088,49.8,0.242,1,29.6,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00023,13.036606,80.22232,10,Kodambakkam,street_limited,6.51,0.8,11.95,1398.2,3.6,7.8,600,RCC_Hume_NP2,0.337,560.0,78.5,0,0.391,0.205,299.0088,49.8,0.242,1,19.7,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00024,12.936793,80.098051,12,Alandur,main,10.63,0.61,25.75,451.6,3.6,12.5,600,RCC_Hume_NP2,0.294,330.0,71.0,0,0.332,0.196,299.0088,49.8,0.242,1,22.4,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00025,12.915596,80.07496,12,Alandur,street,7.12,0.83,28.31,1376.7,3.6,12.5,600,RCC_Hume_NP2,0.343,330.0,71.0,1,0.532,0.161,299.0088,49.8,0.242,1,28.3,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00026,13.034186,80.262269,9,Teynampet,street,7.97,0.74,7.52,1379.5,3.6,7.8,600,RCC_Hume_NP2,0.324,540.0,78.5,1,0.583,0.135,299.0088,49.8,0.242,1,29.6,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00027,13.039818,80.124243,11,Valasaravakkam,street,11.81,0.95,22.84,1391.5,3.6,12.5,600,RCC_Hume_NP2,0.367,310.0,71.0,0,0.324,0.248,299.0088,49.8,0.242,1,20.5,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00028,13.142251,80.250025,3,Madhavaram,main,5.42,0.75,8.88,695.2,3.6,12.5,600,RCC_Hume_NP2,0.326,280.0,71.0,0,0.312,0.224,299.0088,49.8,0.242,1,22.7,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00029,13.027267,80.198406,11,Valasaravakkam,street,10.02,0.85,14.61,1216.9,3.6,12.5,600,RCC_Hume_NP2,0.347,310.0,71.0,0,0.324,0.235,299.0088,49.8,0.242,1,14.3,Minor (1-15 cm),All Vehicles Safe (Caution)
CHN_SEG_00030,13.029668,80.209054,10,Kodambakkam,street,6.3,0.74,13.43,1291.1,3.6,7.8,600,RCC_Hume_NP2,0.324,560.0,78.5,0,0.391,0.197,299.0088,49.8,0.242,1,21.0,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00031,12.978132,80.255129,14,Perungudi,street,4.52,0.26,8.31,1380.4,4.7,4.2,600,RCC_Hume_NP2,0.192,370.0,71.0,0,0.349,0.125,299.0088,49.8,0.242,1,23.7,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00032,13.064935,80.216672,10,Kodambakkam,street,9.57,0.67,12.58,284.3,3.6,7.8,600,RCC_Hume_NP2,0.308,560.0,78.5,0,0.391,0.188,299.0088,49.8,0.242,1,24.8,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00033,12.966119,80.249298,14,Perungudi,street,2.42,0.5,8.96,1270.8,4.7,4.2,600,RCC_Hume_NP2,0.266,370.0,71.0,0,0.349,0.173,299.0088,49.8,0.242,1,87.5,Severe (45-100 cm),Only Heavy Rescue Trucks
CHN_SEG_00034,13.033753,80.266322,9,Teynampet,street,8.12,0.74,7.07,1374.1,3.6,7.8,600,RCC_Hume_NP2,0.324,540.0,78.5,0,0.383,0.2,299.0088,49.8,0.242,1,21.7,Moderate (15-45 cm),Cars Disrupted (Buses/Trucks Only)
CHN_SEG_00035,12.822934,80.046558,15,Sholinganallur,street,3.0,0.23,31.46,362.3,4.7,4.2,600,RCC_Hume_NP2,0.18,290.0,71.0,0,0.316,0.123,299.0088,49.8,0.242,1,70.1,Severe (45-100 cm),Only Heavy Rescue Trucks
