corridor_id,corridor_name,start_point,end_point,carriageway_lanes,daily_pcu,daily_vehicles_count,peak_hour_morning_pcu,peak_hour_evening_pcu,capacity_pcu_per_hr,vc_ratio,two_wheeler_pct,car_pct,auto_pct,bus_pct,truck_lcv_pct,flood_vulnerability_rating,source_report
CORR-01,Anna Salai (Mount Road),Chennai Central / Park,Kathipara Flyover,6 to 8 Lanes Divided,178500,215400,14850,15420,11200,1.38,51.5,27.2,10.8,6.1,4.4,High (Saidapet & Gemini underpasses),CMDA Comprehensive Mobility Plan / CTTP
CORR-02,GST Road (Grand Southern Trunk Rd),Kathipara Junction,Tambaram MEPZ,6 Lanes Divided,194200,232000,15900,16500,10800,1.53,53.0,24.8,9.5,7.2,5.5,Critical (Airport subway & Chromepet),MoRTH / CMDA CMP 2019
CORR-03,Poonamallee High Road (EVR Salai),Chennai Central,Maduravoyal Flyover,4 to 6 Lanes Divided,138600,168200,11400,12100,9000,1.34,49.8,28.0,11.2,5.8,5.2,Critical (KMC hospital & Koyambedu),CMDA CTTS Final Study
CORR-04,Rajiv Gandhi Salai (OMR),Madhya Kailash (Adyar),Siruseri SIPCOT,6 Lanes Divided,128400,154000,10800,11500,10200,1.13,47.2,33.5,8.8,5.4,5.1,Critical (Perungudi & Sholinganallur),TN Road Development Co (TNRDC) / CMP
CORR-05,Inner Ring Road (100 Feet Road),Kathipara Junction,Padi Flyover,6 Lanes Divided,152800,183500,12600,13200,10500,1.26,52.1,26.4,10.5,6.0,5.0,High (Vadapalani & Koyambedu Jn),CMDA Traffic Monitoring Cell
CORR-06,Jawaharlal Nehru Salai (Padi-Koyambedu),Padi Roundabout,Koyambedu Roundabout,6 Lanes Divided,118500,142000,9800,10400,9800,1.06,50.4,26.8,11.1,5.5,6.2,Medium (Anna Nagar West crossing),CMDA / Chennai Traffic Police
CORR-07,Kamarajar Salai (Beach Road),Napier Bridge (Cooum),Light House / Santhome,4 to 6 Lanes Divided,74500,92000,6200,6800,7500,0.91,54.0,28.5,12.0,4.2,1.3,Low (High natural coastal slope),Chennai Traffic Police Annual Report
CORR-08,East Coast Road (ECR),Thiruvanmiyur,Akkarai Checkpost,4 Lanes Divided,68200,81500,5600,6200,6200,1.00,48.5,34.0,8.2,4.8,4.5,Medium (Kottivakkam & Neelankarai),TNRDC Traffic Audit
CORR-09,Grand Northern Trunk (GNT) Road,Madhavaram Roundabout,Karanodai Toll Plaza,4 to 6 Lanes Divided,106500,122000,8900,9400,8500,1.11,41.2,21.5,8.5,7.8,21.0,High (Red Hills surplus channel crossing),MoRTH Regional Office Chennai
CORR-10,Velachery Bypass Road,Guindy Race Course,Velachery Vijayanagar Jn,4 Lanes Divided,86400,104500,7200,7900,6000,1.32,56.2,24.1,12.5,4.8,2.4,Critical (Phoenix mall / Velachery lake),CMDA CMP
CORR-11,Arcot Road,Kodambakkam Bridge,Porur Junction,4 Lanes Undivided,92000,112000,7800,8400,5800,1.45,57.5,21.2,14.1,4.5,2.7,Critical (Virugambakkam canal choke points),Chennai City Traffic Police Study
CORR-12,Sardar Patel Road,Raj Bhavan / Guindy,Madhya Kailash,4 to 6 Lanes Divided,114000,136000,9600,10200,8400,1.21,50.8,29.4,11.0,6.0,2.8,High (IIT Madras & CLRI gates),CMDA CTTP Data
