indicator_category,indicator_name,max_marks,chennai_score_2023,chennai_pct_2023,chennai_score_2024,chennai_pct_2024,assessment_level,source
Service Level Progress (SLP),Door to door collection of segregated waste,1200,816.0,68.0,852.0,71.0,City-Wide,MoHUA Swachh Survekshan
Service Level Progress (SLP),Source segregation (Wet Dry Hazardous),1100,539.0,49.0,605.0,55.0,City-Wide,MoHUA Swachh Survekshan
Service Level Progress (SLP),Cleanliness of drains and water bodies,800,328.0,41.0,360.0,45.0,City-Wide,MoHUA Swachh Survekshan
Service Level Progress (SLP),Sweeping of public & commercial areas,900,675.0,75.0,711.0,79.0,City-Wide,MoHUA Swachh Survekshan
Service Level Progress (SLP),Waste processing and scientific disposal,1200,432.0,36.0,492.0,41.0,City-Wide,MoHUA Swachh Survekshan
Service Level Progress (SLP),Remediation of legacy dumpsites (Biomining),700,280.0,40.0,336.0,48.0,City-Wide,MoHUA Swachh Survekshan
Service Level Progress (SLP),Plastic waste management & Single-use ban,500,245.0,49.0,270.0,54.0,City-Wide,MoHUA Swachh Survekshan
Certifications,Garbage Free City (GFC) Star Rating,1100,300.0,27.3,300.0,27.3,City-Wide,MoHUA Swachh Survekshan (1-Star Certified)
Certifications,Open Defecation Free (ODF) Status,1200,1000.0,83.3,1050.0,87.5,City-Wide,MoHUA Swachh Survekshan (ODF++ Certified)
Citizen Voice,Direct citizen feedback & grievance redressal,1800,898.79,49.9,945.0,52.5,City-Wide,Swachhata App / GCC 1913
Total Performance,Overall Swachh Survekshan Composite Score,9500,4313.79,45.41,4921.0,51.80,National Rank 199 (2023) / ULB Rank 38 (>10L Category 2024),MoHUA Swachh Survekshan Official Report
