zone_no,zone_name,region,wards_range,total_wards,population_est,area_sq_km,waste_generated_tpd,waste_collected_tpd,wet_waste_tpd,dry_waste_tpd,silt_debris_tpd,collection_efficiency_pct,operator_agency,primary_disposal_site,micro_compost_centres,compactor_bins_count,bov_vehicles_count
1,Thiruvottiyur,North,1-14,14,249446,21.42,185.0,175.8,96.2,42.6,37.0,95.0,GCC Departmental,Kodungaiyur,8,340,112
2,Manali,North,15-21,7,84803,39.47,74.0,69.6,38.5,17.0,14.8,94.1,GCC Departmental,Kodungaiyur,4,195,68
3,Madhavaram,North,22-33,12,272828,31.41,142.0,133.5,73.8,32.7,28.4,94.0,GCC Departmental,Kodungaiyur,7,310,120
4,Tondiarpet,North,34-48,15,530857,14.73,601.0,577.0,312.5,138.2,120.2,96.0,GCC Departmental,Kodungaiyur,14,580,245
5,Royapuram,North,49-63,15,523177,12.44,640.0,614.4,332.8,147.2,128.0,96.0,GCC Departmental,Kodungaiyur,15,620,260
6,Thiru-Vi-Ka Nagar,Central,64-78,15,581458,16.52,485.0,460.8,252.2,111.6,97.0,95.0,GCC Departmental,Kodungaiyur,13,540,230
7,Ambattur,Central,79-93,15,478134,40.36,365.0,346.8,189.8,84.0,73.0,95.0,Urbaser Sumeet,Kodungaiyur,11,480,210
8,Anna Nagar,Central,94-108,15,623490,19.20,490.0,470.4,254.8,112.7,98.0,96.0,GCC Departmental,Kodungaiyur,16,610,250
9,Teynampet,Central,109-126,18,658390,19.82,620.0,595.2,322.4,142.6,124.0,96.0,Urbaser Sumeet,Perungudi,18,720,290
10,Kodambakkam,Central,127-142,16,602410,20.40,540.0,518.4,280.8,124.2,108.0,96.0,Urbaser Sumeet,Perungudi,15,640,270
11,Valasaravakkam,South,143-155,13,251340,18.85,210.0,199.5,109.2,48.3,42.0,95.0,Urbaser Sumeet,Perungudi,8,310,135
12,Alandur,South,156-167,12,234120,19.49,195.0,183.3,101.4,44.9,39.0,94.0,Urbaser Sumeet,Perungudi,7,290,125
13,Adyar,South,168-180,13,498760,26.43,440.0,422.4,228.8,101.2,88.0,96.0,Urbaser Sumeet,Perungudi,14,560,240
14,Perungudi,South,181-191,11,289650,33.78,285.0,267.9,148.2,65.6,57.0,94.0,Urbaser Sumeet,Perungudi,9,370,160
15,Sholinganallur,South,192-200,9,215430,44.08,218.0,202.7,113.4,50.1,43.6,93.0,Urbaser Sumeet,Perungudi,8,325,140
Total,Greater Chennai Corporation,All,1-200,200,6099495,358.90,5490.0,5237.9,2854.8,1262.7,1098.0,95.4,Consortium,Dual Dumps,167,6900,2885
