zone_no,zone_name,swd_length_km,desilting_target_km,desilting_completed_km,desilting_progress_pct,silt_catch_pits_count,inspection_chambers_count,silt_removed_metric_tonnes,machinery_deployed_count,contract_type,target_completion_date,status
1,Thiruvottiyur,94.20,94.20,89.50,95.0,6240,6100,680.5,14,Annual Pre-Monsoon Tender,2026-09-30,Completed / Near Completion
2,Manali,62.15,62.15,57.20,92.0,4120,4050,420.0,10,Annual Pre-Monsoon Tender,2026-09-30,In Progress
3,Madhavaram,88.40,88.40,83.10,94.0,5890,5780,590.2,12,Annual Pre-Monsoon Tender,2026-09-30,Near Completion
4,Tondiarpet,118.50,118.50,113.80,96.0,7920,7810,940.0,18,Annual Pre-Monsoon Tender,2026-09-30,Near Completion
5,Royapuram,104.30,104.30,101.20,97.0,6950,6840,895.4,16,Annual Pre-Monsoon Tender,2026-09-30,Near Completion
6,Thiru-Vi-Ka Nagar,122.80,122.80,117.90,96.0,8190,8080,1120.0,20,Annual Pre-Monsoon Tender,2026-09-30,Near Completion
7,Ambattur,135.60,135.60,126.10,93.0,9040,8910,980.5,18,Annual Pre-Monsoon Tender,2026-09-30,In Progress
8,Anna Nagar,146.24,146.24,141.80,97.0,9750,9610,1050.0,22,Annual Pre-Monsoon Tender,2026-09-30,Near Completion
9,Teynampet,138.40,138.40,134.20,97.0,9230,9100,1240.0,24,Annual Pre-Monsoon Tender,2026-09-30,Near Completion
10,Kodambakkam,142.10,142.10,136.40,96.0,9480,9320,1180.0,22,Annual Pre-Monsoon Tender,2026-09-30,Near Completion
11,Valasaravakkam,86.50,86.50,79.60,92.0,5760,5680,610.0,12,Annual Pre-Monsoon Tender,2026-09-30,In Progress
12,Alandur,82.30,82.30,76.50,93.0,5490,5410,580.4,12,Annual Pre-Monsoon Tender,2026-09-30,In Progress
13,Adyar,156.20,156.20,150.00,96.0,10410,10230,1190.0,24,Annual Pre-Monsoon Tender,2026-09-30,Near Completion
14,Perungudi,101.40,101.40,93.30,92.0,6760,6640,730.0,14,Annual Pre-Monsoon Tender,2026-09-30,In Progress
15,Sholinganallur,92.30,92.30,83.10,90.0,6150,6010,583.0,12,Annual Pre-Monsoon Tender,2026-09-30,In Progress
Total_GCC,Greater Chennai Corporation,1671.39,1671.39,1583.70,94.75,110082,108041,12300.0,250,Annual Pre-Monsoon Works,2026-09-30,War-Footing Execution
Highways_Dept,State Highways Department,430.00,430.00,395.60,92.0,18000,17500,2850.0,65,State Highways Maintenance,2026-09-30,In Progress
Combined,Metropolitan Total,2101.39,2101.39,1979.30,94.19,128082,125541,15150.0,315,Inter-Agency Coordination,2026-09-30,Active Operations
